T [K],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,175.09828543607844,152.94034467140196,241.25639579265425,8.0003357046403e-17,-4.903507155699582e-15,2.8717586267581315e-33,189.76500863337822
20.0,45.413667025143276,34.99793190378282,76.07710338332808,4.594032593023889e-18,-1.5890890459515961e-15,4.876984908320542e-34,52.1629007707514
30.0,24.110247351352548,19.360056748079607,46.343112156795534,4.864114361919719e-18,-9.956270137947814e-16,2.3353643891786365e-34,29.937805418742567
40.0,16.574248259661957,13.372367884425161,33.13214402571729,4.911447026178097e-18,-7.163260548100598e-16,1.529570018033452e-34,21.0262533899348
50.0,12.587070630033136,10.029333322361131,25.117598589252463,4.262904680669701e-18,-5.416323874122389e-16,1.1056692895268853e-34,15.911334180548911
60.0,10.116616070323202,7.929834060776466,19.892212808604782,3.589262809897699e-18,-4.2647161612416363e-16,8.485835787242661e-35,12.646220979901484
70.0,8.458351741780383,6.52801691413036,16.336817515010832,3.0471078179893856e-18,-3.479553297176743e-16,6.810431300976333e-35,10.441062056973857
80.0,7.278961534966053,5.544362094536747,13.817041810448755,2.63333852527961e-18,-2.9244717143410294e-16,5.655835923066561e-35,8.880121813317183
90.0,6.399808107619358,4.8230637730484105,11.961018114313461,2.3167082209233666e-18,-2.517549829198614e-16,4.822365909358467e-35,7.727963331660409
100.0,5.718853693964994,4.273573263279777,10.546012295109557,2.0695131770293468e-18,-2.2091006664208765e-16,4.1971997137695153e-35,6.846146417451443
110.0,5.174840361194837,3.8412826948342693,9.43478440880749,1.871890073602195e-18,-1.9683230770057963e-16,3.713229727758374e-35,6.150302488278865
120.0,4.729274331373226,3.4919989555537723,8.539974358641206,1.7103062523193958e-18,-1.7755693232360048e-16,3.3286350753384205e-35,5.5870825485227344
130.0,4.3569228376391544,3.2035035164729715,7.804093009675091,1.5755639787612436e-18,-1.6179158430540671e-16,3.016256004910716e-35,5.121506454595739
140.0,4.040601314835135,2.9608428945112983,7.1880860230274415,1.4613110569861592e-18,-1.4866022025657363e-16,2.7578087348049974e-35,4.729843410791292
150.0,3.7682031669888305,2.753622850268941,6.664632426132191,1.3630596294988602e-18,-1.375519907803669e-16,2.5405949063750435e-35,4.395486147796654
160.0,3.530942985985882,2.5744049361444703,6.214105304371876,1.2775609803766509e-18,-1.2802979969554618e-16,2.355552935719062e-35,4.106484408834077
170.0,3.3222795977935284,2.41772626758833,5.822065897377242,1.2024074409151693e-18,-1.1977347868745525e-16,2.196061353403072e-35,3.8540239209197
180.0,3.137233303549917,2.279481923935209,5.4776648500183835,1.1357755185344194e-18,-1.1254352786327033e-16,2.0571797685579097e-35,3.631460025834503
190.0,2.97193940707008,2.1565245363237926,5.17259487950493,1.0762569139834202e-18,-1.0615738638200558e-16,1.93515336943075e-35,3.433686274299601
200.0,2.8233478945997033,2.046397666401074,4.900387581917748,1.0227449256797657e-18,-1.004735298903285e-16,1.8270810731446092e-35,3.256711047639508
210.0,2.689016201386225,1.9471538455895436,4.655930469708507,9.743563919333769e-19,-9.538057549198514e-17,1.730688132557388e-35,3.0973668388947586
220.0,2.5669628902363577,1.857227557826802,4.435128297154928,9.30376901054112e-19,-9.078966392110231e-17,1.6441670855612792e-35,2.9531062484060286
230.0,2.455562186776235,1.7753447307077879,4.234661007148539,8.902215556354133e-19,-8.662903247368805e-17,1.566064424495209e-35,2.8218559748775207
240.0,2.353466544529932,1.700457021505123,4.051807701552859,8.534063488472564e-19,-8.284008162057372e-17,1.49519847361629e-35,2.7019104225293042
250.0,2.2595488383244775,1.6316932858818465,3.8843165770184607,8.195269235410367e-19,-7.937447884580897e-17,1.4305989621051634e-35,2.5918529004082616
260.0,2.1728585610745,1.5683231772101647,3.7303074173024315,7.882425627636348e-19,-7.619199505930321e-17,1.3714619334871581e-35,2.4904963851956987
270.0,2.09258818129564,1.5097294571684128,3.58819751345796,7.592639511209379e-19,-7.325886659637393e-17,1.317115663367211e-35,2.396838383974004
280.0,2.0180469873045084,1.4553866608805828,3.456644691301744,7.323436975234191e-19,-7.054653981709682e-17,1.2669945907758e-35,2.3100261131622783
290.0,1.9486405254963093,1.4048444646213005,3.3345030006293768,7.072689097554174e-19,-6.803069798991796e-17,1.2206191593492455e-35,2.2293293302489956
300.0,1.8838542722061333,1.3577145798915868,3.2207878935800385,6.838553141902307e-19,-6.569049905968172e-17,1.1775800695764622e-35,2.15411891522592
310.0,1.8232405471352786,1.3136603242279261,3.1146485971461426,6.619425534947796e-19,-6.350797279412524e-17,1.1375258603948063e-35,2.083849822836449
320.0,1.7664079354704578,1.2723882467261318,3.015345998638266,6.413903926198703e-19,-6.146753968570626e-17,1.1001530299291845e-35,2.0180473936116186
330.0,1.7130126707098616,1.233641347215395,2.9222347980491468,6.220756324407736e-19,-5.955562380345164e-17,1.0651981115829582e-35,1.9562962719914676
340.0,1.6627515638752899,1.1971935433671397,2.8347489936294963,6.038895800375868e-19,-5.776033881973818e-17,1.0324312696220057e-35,1.8982313669573088
350.0,1.6153561626169273,1.1628451237287944,2.7523899938812595,5.867359607177092e-19,-5.607123153024096e-17,1.0016510856184409e-35,1.843530426742327
360.0,1.5705878961349908,1.1304189861275018,2.6747168158059824,5.705291834770821e-19,-5.4479070916083925e-17,9.726802856647767e-36,1.7919078993561584
370.0,1.5282340160196266,1.0997575065013678,2.6013379528921883,5.551928914002208e-19,-5.2975673558312306e-17,9.453622163807709e-36,1.7431098251377275
380.0,1.4881041840420903,1.070719917416403,2.5319045889690517,5.40658743398967e-19,-5.1553758278151874e-17,9.19557921131864e-36,1.6969095634758482
390.0,1.4500275891394507,1.0431801014161362,2.4661049041032967,5.268653850092863e-19,-5.0206824432590604e-17,8.951437005742893e-36,1.653104198219628
400.0,1.4138504998356856,1.0170247241236932,2.4036592721387273,5.137575746426041e-19,-4.892904947847872e-17,8.72009066481152e-36,1.6115114986993688
410.0,1.3794341769476752,0.9921516472445254,2.344316190550188,5.012854383961117e-19,-4.771520232606672e-17,8.500550168239576e-36,1.5719673382474628
420.0,1.3466530859566062,0.9684685734390679,2.2878488151032075,4.894038317535397e-19,-4.656056970438081e-17,8.291925747569483e-36,1.5343234914996273
430.0,1.3153933598560357,0.9458918842787565,2.234051996639816,4.780717906106254e-19,-4.546089330688357e-17,8.093415455517098e-36,1.4984457469248695
440.0,1.285551472339008,0.9243456397784684,2.182739736818324,4.672520573030127e-19,-4.4412315913858935e-17,7.904294544459427e-36,1.4642122829786002
450.0,1.2570330883986478,0.9037607137687355,2.1337429950600955,4.569106698945393e-19,-4.34113350256159e-17,7.723906353893719e-36,1.4315122657424928
460.0,1.2297520651972753,0.884074043973563,2.086907791228966,4.470166050497852e-19,-4.245476280864277e-17,7.551654462286526e-36,1.4002446334666014
470.0,1.203629580718428,0.8652279793522611,2.042093558389947,4.375414664781297e-19,-4.1539691370878943e-17,7.386995903009129e-36,1.3703170394868789
480.0,1.1785933714917445,0.8471697102428681,1.9991717078967561,4.284592122833017e-19,-4.0663462554134954e-17,7.229435279527717e-36,1.3416449298771227
490.0,1.1545770637554258,0.8298507692609896,1.958024375450589,4.197459156485454e-19,-3.982364157044024e-17,7.078519643573697e-36,1.3141507361556681
500.0,1.1315195849371396,0.8132265928775112,1.918543321969967,4.113795541840027e-19,-3.901799392167387e-17,6.933834023133432e-36,1.2877631665948728
510.0,1.1093646444026046,0.7972561352118133,1.8806289673572092,4.0333982399955135e-19,-3.824446513362452e-17,6.794997505892041e-36,1.2624165823238755
520.0,1.0880602741287617,0.7819015269044303,1.844189538731284,3.956079751743745e-19,-3.7501162910811586e-17,6.661659799122519e-36,1.2380504465881588
530.0,1.0675584213741627,0.7671277730298895,1.8091403175685006,3.88166665798558e-19,-3.678634138026161e-17,6.533498199609411e-36,1.2146088373241843
540.0,1.0478145865976032,0.7529024849205839,1.7754029725693856,3.809998321814172e-19,-3.609838714354566e-17,6.410214917581702e-36,1.1920400146958576
550.0,1.0287875008604939,0.7391956415307126,1.7429049670451615,3.740925731716947e-19,-3.543580689878752e-17,6.291534707219891e-36,1.1702960364787893
560.0,1.010438837774028,0.7259793766033134,1.7115790312648396,3.674310468286056e-19,-3.4797216429667196e-17,6.177202763439062e-36,1.1493324152140605
570.0,0.9927329557468277,0.7132277884355291,1.681362691583361,3.6100237793004356e-19,-3.418133078796708e-17,6.066982850599774e-36,1.129107811921906
580.0,0.9756366668751694,0.7009167694853459,1.6521978493301512,3.5479457501291744e-19,-3.358695552097455e-17,5.960655633778664e-36,1.1095837618968887
590.0,0.9591190293146489,0.689023853441718,1.6240304034145856,3.487964558176084e-19,-3.301297881590596e-17,5.858017187410268e-36,1.0907244287236508
600.0,0.9431511603940558,0.6775280777009683,1.596809911431177,3.4299758015870005e-19,-3.245836445112686e-17,5.758877659635797e-36,1.0724963831754002
610.0,0.9277060680918493,0.6664098594652935,1.5704892847485448,3.3738818937225747e-19,-3.1922145458866243e-17,5.66306007366949e-36,1.0548684041018959
620.0,0.9127584988028439,0.6556508839119789,1.5450245136628205,3.3195915159946833e-19,-3.140341841680413e-17,5.570399250021393e-36,1.0378112987925479
630.0,0.8982847995860419,0.645234003081013,1.520374419205481,3.267019122601532e-19,-3.0901338296723735e-17,5.480740835557435e-36,1.0212977406241786
640.0,0.8842627933107035,0.6351431442995087,1.4965004286314416,3.216084491504767e-19,-3.0415113807660433e-17,5.393940427212949e-36,1.0053021220805511
650.0,0.8706716653126308,0.6253632271081803,1.4733663719872983,3.166712316684656e-19,-2.99440031789034e-17,5.309862779738516e-36,0.9898004214693698
660.0,0.8574918603408588,0.6158800877816685,1.4509382974815135,3.118831837311567e-19,-2.9487310335013643e-17,5.228381088201278e-36,0.9747700818680136
670.0,0.8447049887205816,0.6066804106439052,1.429184303655912,3.0723764999897654e-19,-2.904438142089026e-17,5.14937633711905e-36,0.9601899010067996
680.0,0.8322937407844866,0.597751665474459,1.4080743865980136,3.02728365068185e-19,-2.861460163998537e-17,5.0727367090997824e-36,0.9460399309523199
690.0,0.8202418087344974,0.5890820503840709,1.3875803006417695,2.983494253313299e-19,-2.8197392373156635e-17,4.998357046718394e-36,0.9323013865867793
700.0,0.8085338151916867,0.580660439609208,1.3676754311850594,2.940952632399219e-19,-2.779220854945499e-17,4.926138362108638e-36,0.918956561995318
710.0,0.7971552477756667,0.5724763357378787,1.3483346784097296,2.899606237333706e-19,-2.7398536243459462e-17,4.85598738939278e-36,0.905988753974425
720.0,0.7860923991279354,0.5645198259335436,1.3295343508272472,2.859405426243245e-19,-2.701589047665839e-17,4.787816175636081e-36,0.8933821919629087
730.0,0.7753323118577627,0.5567815417717221,1.3112520676931554,2.820303267535449e-19,-2.664381320289991e-17,4.721541706501616e-36,0.8811219737742135
740.0,0.764862727945523,0.5492526223458418,1.29346666943868,2.7822553574755486e-19,-2.6281871460143505e-17,4.6570855632115564e-36,0.8691940065766817
750.0,0.75467204218796,0.5419246803357236,1.2761581353602274,2.7452196522998282e-19,-2.592965567268127e-17,4.594373607793431e-36,0.8575849526279704
760.0,0.7447492593135624,0.5347897707645629,1.2593075078886498,2.7091563135326985e-19,-2.558677808970028e-17,4.5333356939223715e-36,0.8462821793222584
770.0,0.7350839544348154,0.5278403621989033,1.2428968228317971,2.67402756531096e-19,-2.5252871347556195e-17,4.4739054009559666e-36,0.8352737131551718
780.0,0.7256662365382629,0.5210693101714308,1.2269090450469737,2.639797562641974e-19,-2.4927587144450165e-17,4.4160197890162274e-36,0.8245481972522225
790.0,0.7164867147435342,0.5144698326288061,1.211328009055781,2.6064322696304603e-19,-2.4610595017369498e-17,4.359619173194887e-36,0.814094852142707
800.0,0.7075364670893735,0.5080354872266453,1.1961383641632892,2.5738993468048197e-19,-2.4301581212186e-17,4.304646915159276e-36,0.8039034394931027
810.0,0.6988070116285762,0.5017601503114056,1.1813255236873612,2.542168046759281e-19,-2.4000247638722787e-17,4.2510492306100775e-36,0.7939642285424476
820.0,0.6902902796349797,0.4956379974446408,1.1668756179429445,2.5112091174047913e-19,-2.3706310903414195e-17,4.1987750111984896e-36,0.7842679650075217
830.0,0.6819785907446143,0.48966348533908766,1.152775450660816,2.4809947121891442e-19,-2.341950141290728e-17,4.1477756596487166e-36,0.7748058422481726
840.0,0.6738646298700587,0.4838313350885186,1.1390124585512542,2.451498306707589e-19,-2.3139562542597987e-17,4.0980049369548993e-36,0.7655694745032772
850.0,0.6659414257421435,0.47813651658446954,1.1255746737506298,2.422694621179551e-19,-2.2866249864671035e-17,4.0494188206305536e-36,0.7565508720257476
860.0,0.6582023309467342,0.47257423402292303,1.11245068891367,2.394559548315702e-19,-2.2599330430725194e-17,4.001975373087636e-36,0.7477424179611091
870.0,0.6506410033364414,0.46713991241297653,1.099629624736177,2.3670700861428045e-19,-2.23385821045269e-17,3.9556346193075586e-36,0.7391368468285316
880.0,0.643251388708038,0.461829185007557,1.0871010997127957,2.340204275393952e-19,-2.2083792940845544e-17,3.910358433047359e-36,0.7307272244761304
890.0,0.6360277046461686,0.4566378815834498,1.0748552019522277,2.3139411411057784e-19,-2.183476060669446e-17,3.866110430892028e-36,0.7225069293939487
900.0,0.6289644254427378,0.4515620175043938,1.062882462888203,2.288260638096642e-19,-2.1591291841633043e-17,3.822855873527537e-36,0.7144696352784449
910.0,0.6220562680093591,0.44659778350685475,1.0511738327389502,2.2631436000285696e-19,-2.13532019540837e-17,3.780561573666108e-36,0.7066092947517214
920.0,0.6152981787073823,0.44174153615333095,1.0397206575808022,2.2385716917806156e-19,-2.1120314350886744e-17,3.7391958101051885e-36,0.6989201241471719
930.0,0.6086853210265408,0.4369897889028316,1.0285146579133027,2.2145273648856225e-19,-2.0892460097558616e-17,3.698728247447953e-36,0.6913965892808918
940.0,0.6022130640490844,0.43233920375244433,1.0175479086036863,2.1909938158028726e-19,-2.066947750693706e-17,3.659129861053374e-36,0.6840333921350717
950.0,0.5958769716416028,0.42778658340781894,1.0068128201081776,2.1679549468181737e-19,-2.0451211754095704e-17,3.620372866823206e-36,0.6768254583858665
960.0,0.5896727923215448,0.4233288639439039,0.9963021208761556,2.1453953293806987e-19,-2.0237514515588317e-17,3.5824306554633745e-36,0.6697679257138681
970.0,0.583596449749796,0.41896310792048086,0.9860088408510903,2.1233001697008024e-19,-2.0028243631246162e-17,3.545277730892039e-36,0.6628561328404557
980.0,0.5776440338046562,0.4146864979199372,0.9759262959892179,2.101655276448427e-19,-1.982326278689798e-17,3.508889652490184e-36,0.6560856092379371
990.0,0.5718117921961584,0.4104963304773599,0.9660480737233977,2.0804470304034306e-19,-1.962244121651625e-17,3.47324298091805e-36,0.6494520654656387
1000.0,0.5660961225829431,0.40639001037543016,0.9563680193054402,2.0596623559218928e-19,-1.942565342241409e-17,3.438315227243049e-36,0.6429513840879378
